"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190901","일","남","50대","서울특별시","마포구","마포동","치킨","5"
"20190901","일","남","10대","서울특별시","마포구","상암동","치킨","8"
"20190901","일","남","10대","서울특별시","마포구","성산동","치킨","5"
"20190901","일","남","40대","서울특별시","마포구","상암동","치킨","32"
"20190901","일","남","40대","서울특별시","마포구","노고산동","치킨","5"
"20190901","일","여","20대","서울특별시","마포구","공덕동","치킨","5"
"20190901","일","여","20대","서울특별시","마포구","마포동","치킨","5"
"20190901","일","여","20대","서울특별시","마포구","합정동","치킨","5"
"20190901","일","남","20대","서울특별시","마포구","마포동","치킨","5"
"20190901","일","남","30대","서울특별시","마포구","합정동","치킨","8"
"20190901","일","남","30대","서울특별시","마포구","상암동","치킨","30"
"20190901","일","남","30대","서울특별시","마포구","대흥동","치킨","5"
"20190901","일","남","30대","서울특별시","마포구","공덕동","치킨","5"
"20190901","일","여","30대","서울특별시","마포구","대흥동","치킨","5"
"20190901","일","여","30대","서울특별시","마포구","망원동","치킨","5"
"20190901","일","여","40대","서울특별시","마포구","대흥동","치킨","5"
"20190901","일","여","40대","서울특별시","마포구","상암동","치킨","28"
"20190901","일","여","40대","서울특별시","마포구","합정동","치킨","6"
"20190901","일","남","20대","서울특별시","마포구","합정동","치킨","6"
"20190901","일","남","20대","서울특별시","마포구","상암동","치킨","13"
"20190901","일","여","50대","서울특별시","마포구","망원동","치킨","5"
"20190901","일","여","40대","서울특별시","마포구","망원동","치킨","5"
"20190901","일","여","40대","서울특별시","마포구","성산동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","공덕동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","마포동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","상암동","치킨","5"
"20190901","일","남","50대","서울특별시","마포구","상암동","치킨","11"
"20190901","일","남","10대","서울특별시","마포구","합정동","치킨","5"
"20190901","일","여","20대","서울특별시","마포구","상암동","치킨","8"
"20190901","일","여","50대","서울특별시","마포구","대흥동","치킨","5"
"20190901","일","남","40대","서울특별시","마포구","합정동","치킨","7"
