,일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도
25,26,기린대로3L,호남제일문광장,127.07060279999999,35.869619799999995,반월동 873-16,127.0671351,35.87136470000001,반월동726-2(월드컵경기장),127.06289650000001,35.8735589
26,27,기린대로3R,호남제일문광장,127.07060279999999,35.869619799999995,반월동 873-16,127.0671351,35.87136470000001,반월동726-1(월드컵경기장),127.06285790000001,35.873824600000006
27,28,기지로L,완산구 중동 774-4(전북은행 혁신도시지점 앞),127.058631,35.838408,만성동 1207,127.068395,35.838852,만성동1179-1(SK셀프주유소 옆 삼거리),127.07613799999999,35.836071999999994
28,29,기지로R,완산구 중동 774-4(전북은행 혁신도시지점 앞),127.058631,35.838408,만성동 1207,127.068395,35.838852,만성동1179-1(SK셀프주유소 옆 삼거리),127.07613799999999,35.836071999999994
29,30,노송광장로L,서노송동568-1(전주시청),127.14777990000002,35.8243499,서노송동 598-11,127.14754950000001,35.8232545,서노송동619-11(전주시의회입구),127.14680700000001,35.8242471
30,31,노송광장로R,서노송동568-1(전주시청),127.14777990000002,35.8243499,서노송동 598-11,127.14754950000001,35.8232545,서노송동619-11(전주시의회입구),127.14680700000001,35.8242471
31,32,농생명로L,중동 830(육교 앞),127.05860200000001,35.832944,중동 824,127.06446399999999,35.833292,만성동 860,127.07193600000001,35.831987
32,33,당산로L,서신동762(전주서중),127.1098268,35.831529100000004,서신동 794,127.1169403,35.8318558,서신동768,127.1218976,35.832534100000004
33,34,당산로R,서신동762(전주서중),127.1098268,35.831529100000004,서신동 794,127.1169403,35.8318558,서신동768,127.1218976,35.832534100000004
34,35,대동로L,태평동102-37(유창ENG),127.1364014,35.821121500000004,고사동 263-2 대한소방,127.1417277,35.8218996,서노송동636-1(대신증권),127.144608,35.8232439
35,36,대동로R,태평동102-37(유창ENG),127.1364014,35.821121500000004,고사동 263-2 대한소방,127.1417277,35.8218996,서노송동636-1(대신증권),127.144608,35.8232439
36,37,동부대로1L,우아동1가942-1(아중역),127.1763285,35.8297546,산정동 679-2,127.1703623,35.8389951,전주시 덕진구 우아동3가 285-8(럭키아파트),127.1638854,35.844083000000005
37,38,동부대로1R,우아동1가942-1(아중역),127.1763285,35.8297546,우아1동 270-30,127.1636837,35.8455391,호성동 1가 747(호성동신아파트),127.14769409999998,35.8673908
38,39,동부대로2L,전주시 덕진구 우아동3가 285-8(럭키아파트),127.1638854,35.844083000000005,우아동3가 591-1 호성자원,127.1575278,35.8558915,호성동2가 631-12(전주시차량등록사업소),127.14769409999998,35.8673908
39,40,동부대로2R,호성동 1가 747(호성동신아파트),127.154657,35.858979999999995,우아동3가 591-1 호성자원,127.1575278,35.8558915,호성동2가 631-12(전주시차량등록사업소),127.14769409999998,35.8673908
40,41,동부대로3L,송천동2가 54-63(대송장례식장),127.13626210000001,35.868775799999995,송천동2가 325-1,127.1234862,35.869921600000005,송천동2가492-36(농수산물도매시장),127.117825,35.8687922
41,42,동부대로3R,송천동2가 54-63(대송장례식장),127.13626210000001,35.868775799999995,송천동2가 325-1,127.1234862,35.869921600000005,송천동2가492-36(농수산물도매시장),127.117825,35.8687922
42,43,두간로L,송천동1가832-1,127.11470200000001,35.865245,송천동1가 853,127.1180003,35.8653105,송천동1가812-1,127.1212277,35.865117
43,44,두간로R,송천동1가832-1,127.11470200000001,35.865245,송천동1가 853,127.1180003,35.8653105,송천동1가812-1,127.1212277,35.865117
44,45,들사평서로L,덕진동1가1437-1,127.12170220000002,35.8372236,덕진동1가 1435-22,127.1203638,35.838257899999995,덕진동1가1547-80,127.11914250000001,35.838868
45,46,들사평서로R,덕진동1가1437-1,127.12170220000002,35.8372236,덕진동1가 1435-22,127.1203638,35.838257899999995,덕진동1가1547-80,127.11914250000001,35.838868
46,47,마전들로L,효자동3가1670-42,127.09574409999999,35.820882700000006,효자동3가 461-3,127.09799109999999,35.8269021,효자동3가1(전북도청),127.1091125,35.8200561
47,48,마전들로R,효자동3가1670-42,127.09574409999999,35.820882700000006,효자동3가 461-3,127.09799109999999,35.8269021,효자동3가1(전북도청),127.1091125,35.8200561
48,49,만성로L,국민연금공단 앞 사거리,127.07321,35.837866999999996,만성동 962-3,127.07139099999999,35.834983,만성동 1178-6번지 앞 삼거리,127.07019299999999,35.832297
49,50,만성로R,국민연금공단 앞 사거리,127.07321,35.837866999999996,만성동 962-3,127.07139099999999,35.834983,만성동 1178-6번지 앞 삼거리,127.07019299999999,35.832297
50,51,모악로L,평화동2가363-2(웨딩코리아사거리),127.1286149,35.7852016,평화동2가 286-4,127.1313509,35.7902668,평화동1가731-1(꽃밭정이네거리),127.13281909999999,35.795000200000004
51,52,모악로R,평화동2가363-2(웨딩코리아사거리),127.1286149,35.7852016,평화동2가 286-4,127.1313509,35.7902668,평화동1가731-1(꽃밭정이네거리),127.13281909999999,35.795000200000004
52,53,무삼지로L,인후동1가916-6,127.16586029999999,35.8262817,인후3동 877-2,127.16349479999998,35.8302644,인후동1가845-1,127.1627394,35.8340615
53,54,무삼지로R,인후동1가916-6,127.16586029999999,35.8262817,인후3동 877-2,127.16349479999998,35.8302644,인후동1가845-1,127.1627394,35.8340615
